post,tags
what s the best way for an angular controller to alter an ancestor html element   i have an angular controller which lives in a portion of the page however that application needs to get access to an html element that lives above it.     the best way to imagine the problem is that you have an embedded video which wants to request to be made full view-port:   <pre><code>&lt;html ng-app= videoapp &gt;    &lt;body&gt;      &lt;div&gt;       other stuff that doesn t relate to the video player...     &lt;/div&gt;      &lt;div ng-controller= videoctrl &gt;       ... stuff relating to the video controller     &lt;/div&gt;    &lt;/body&gt; &lt;/html&gt; </code></pre>   the exact problem is that the <code>videoctrl</code> needs to be able to add a class to the body class such that it can switch the page layout to being full-page and dominated by the video.    <em>desired outcome  status of video app adds a  full-page  class to body tag:</em>   <pre><code>&lt;body ng-class= video.fullpage    full-page   :    &gt; </code></pre>  <h2>what s would be the correct way for the video to add a class to an ancestor tag </h2>   under normal circumstances where the element we want to manipulate lies inside the controller that s doing the manipulation we can bind elements to variables in the scope:   <pre><code>&lt;body&gt; &lt;!-- the videoctrl scope is not available to &lt;body&gt; --&gt;   &lt;div ng-controller= videoctrl &gt;     &lt;div ng-class= video.fullpage    fullpage  :    &gt;&lt;/div&gt;   &lt;/div&gt; &lt;/body&gt; </code></pre>   however the body tag is not contained within the scope of the video controller and so has no access to the variables in its scope so we can t bind to them.    we could always reach out directly and change the class on the body using dom manipulation but that s not very <em>angular</em>. what is the correct pattern for the video controller to alter the class of the body tag,angularjs
convert short bits into an int  i have a tcp packet that sends a bunch of unsigned variables (they are unsigned because they are saving space and using the limits for unique ids)  i need to convert this unsigned short bit data into an integer in java.    so my question is how do i convert bytearray[0 - 15] into an int      edit:    here is the code i have changed to:   <pre><code>byteorder order = byteorder.big_endian; requesteddatetype = new biginteger(bytebuffer.allocate(2).put(data  8  2).order(order).array()).intvalue(); </code></pre>   the data buffer coming in is:   <pre><code>bit   0    1   2   3   4   5   6   7   8   9  value 40   0   0   0   8   0   0   0   1   0 </code></pre>   the data is sent as little endian. i assume since biginteger assumes big  i need to convert to that. however both big or little order give me the same value in return.    i expect to get 1 for the value of <code>requesteddatetype</code> however i am getting 256. how do i pad the two missing bytes to make sure it gives me 0000 0000 0000 0001 instead of 0000 0001 0000 0000     edit 2:    never mind. changed code to this:   <pre><code>bytebuffer bb = bytebuffer.allocate(2); bb.order(byteorder.little_endian); bb.put(data  8  2); int value = ((int)bb.getshort(0)) &amp; 0xff; </code></pre>,java
ruby model generator  i have a page where by the users fills in the text fields  about 17 of them in fact. when i run the rails generate model do i require to put in all 17 (title:string). an example one is below. this is called customer. all my labels are different as i thought it may pay off when searching the databases later. i must be missing the point!    <pre><code>&lt;%= f.label :customer   customer:   :class=&gt;  label  %&gt; &lt;%= f.text_field :customer  :class =&gt;  text_field   :size =&gt; 40 %&gt;    &lt;%= f. date_select :date  options= { order: [:day  :month  :year ]} %&gt;&lt;br&gt;&lt;br&gt; </code></pre>,ruby-on-rails
how to combine getelementbytagname and getelementbyclass using javascript  i am trying to make my selector so when it gets the class of transform with the tagname with p  it will do some event in my case it is mouse hovering but i am having trouble with it.    i know there are jquery solutions but i am doing it with pure javascript. here is the code below currently   <pre><code>var hoverevent = document.getelementsbytagname( p ).getelementsbyclassname( transform );     for (let i = 0; i &lt; hoverevent .length; i++) {     hoverevent [i].onmouseover=function() {         this.style.color =  yellow ;      // changes paragraph with class of transform to yellow during hover     } }  // end for        for (let i = 0; i &lt; hoverevent .length; i++) {     hoverevent [i].onmouseout=function() {         this.style.color =  black ;  // changes it back to black      } }                    </code></pre>,javascript
why won t this div animate   i have added some animation using jquery but it s not working:   <pre><code>$( .test-container ).click(function(){   $(this).css( background-color    rgb(119  119  119) ); $(this).animate({right:  50%   opacity: 0.3}  1000);  }) </code></pre>   here is the jfiddle i created: <a href= http://jsfiddle.net/ejhdm/2/  rel= nofollow >http://jsfiddle.net/ejhdm/2/</a>    am i doing something obviously wrong here  i can t see it.,jquery
what s wrong with my app.config   i ve been tasked to extend our app s app.config by creating a <code>&lt;configsection&gt;</code> in which we d define a relatively complex object in xml. the config looks like this:   <pre class= lang-xml prettyprint-override ><code>&lt;configuration&gt;   &lt;appsettings&gt;     &lt;add key= minwaittime  value= 150  /&gt;     &lt;add key= maxwaittime  value= 900  /&gt;   &lt;/appsettings&gt;   &lt;configsections&gt;     &lt;section name= clientconfig  type= keepwarm.clientconfig  /&gt;   &lt;/configsections&gt;   &lt;clientconfig username= test user  password= test password &gt;     &lt;urls&gt;       &lt;add url= test1  /&gt;       &lt;add url= test2  /&gt;       &lt;add url= test3  /&gt;     &lt;/urls&gt;   &lt;/clientconfig&gt; &lt;/configuration&gt; </code></pre>   eventually  i ll have to be able to define multiple <code>&lt;clientconfig&gt;</code>  but i m already struggling getting only one to work.   <pre><code>namespace keepwarm {     public class clientconfig : configurationsection     {         [configurationproperty( username   isrequired = true)]         public string username         {             get { return (string)base[ username ]; }             set { base[ username ] = value; }         }          [configurationproperty( password   isrequired = true)]         public string password         {             get { return (string)base[ password ]; }             set { base[ password ] = value; }         }          [configurationproperty( urls   isrequired = true)]         public urlcollection urls         {             get { return (urlcollection)base[ urls ]; }             set { base[ urls ] = value; }         }     }      [configurationcollection(typeof(urlelement))]     public class urlcollection : configurationelementcollection     {         protected override configurationelement createnewelement()         {             return new urlelement();         }          protected override object getelementkey(configurationelement element)         {             return ((urlelement)element).url;         }     }      public class urlelement : configurationelement     {         [configurationproperty( url   iskey = true  isrequired = true)]         public string url         {             get { return (string)this[ url ]; }             set { base[ url ] = value; }         }     } } </code></pre>   yet whenever i try to access my settings  like this:   <pre><code>var minwaittime = int.parse(configurationmanager.appsettings[ minwaittime ]); </code></pre>   i get a <code>system.configuration.configurationerrorsexception</code>.    i ve been looking at various examples online  but nothing seems to help in my case. what am i doing wrong,c#
php coded text decoding  into a string  i have some coded text.   <pre><code>... f&amp;#252;r ... </code></pre>   it is a german word  für .    how can i transform the whole text to german text     thanks for help.,php
how can i take a sample still image from two pictureboxes in fullscreen every x seconds   the code:   <pre><code>this.topmost = true; this.windowstate = system.windows.forms.formwindowstate.maximized; this.splitcontainer1.splitterdistance = (this.clientsize.width -     this.splitcontainer1.splitterwidth) / 2; picturebox1.image = image.fromfile(@ d:\gifs\radargifanimatoion.gif );//pb1.image; picturebox2.image = image.fromfile(@ d:\gifs\satellitegifanimatoion.gif );//pb2.image; timer1.interval = animationspeed; timer1.enabled = true; </code></pre>   and i have a timer tick event:   <pre><code>private void timer1_tick(object sender  eventargs e) {  } </code></pre>   in this example the timer interval is 80ms. so inside the timer1 tick event i want each 80ms to take a snapshot or a screenshot of both pictureboxes and save this shot to the hard disk.    so in the end i will have on the hard disk for example 5 images of the two pictureboxes . so if i edit each image of the 5 on the hard disk i will see the two pictureboxes images.    how can i do it in the timer1 tick event      <img src= https://i.stack.imgur.com/wrfhc.jpg  alt= enter image description here >    the update code in the timer1 tick event:   <pre><code>private void timer1_tick(object sender  eventargs e)         {             using (var still = new bitmap(this.width  this.height))             {                 this.drawtobitmap(still  new rectangle(new point(0  0)  still.size));                 still.save(string.format(@ d:\gifforanimation\still_{0}.gif   sequence++)  system.drawing.imaging.imageformat.gif);                 if (sequence == 5)                 {                     timer1.stop();                 }             }          } </code></pre>   i set the timer1 interval in the constructor to the same speed of the animation when created it. the animation speed is 80ms so the timer1 is set to 80ms too.    and still instead of taking each 80ms an image of the pictureboxes it s taking or saving the same image. 5 images that are the same.,c#
warnings when building a .net application using google api  i ve an application that uses google drive api with .net 4.0. when i build the application i get three warnings:   <blockquote>    warning 3 unable to find dependency  google.apis  (signature= (null)    version= 1.8.1.31687 ) of assembly  google.apis.drive.v2.dll    d:\documents\visual studio 2013\projects\ffp extended   1.0\ffpxinstaller\ffpxinstaller.vdproj        warning 2 unable to find dependency  google.apis.core    (signature= (null)  version= 1.8.1.31685 ) of assembly    google.apis.drive.v2.dll  d:\documents\visual studio   2013\projects\ffp extended 1.0\ffpxinstaller\ffpxinstaller.vdproj        warning 1 unable to find dependency  zlib.portable    (signature= (null)  version= 1.9.1.9000 ) of assembly    google.apis.dll  d:\documents\visual studio 2013\projects\ffp   extended 1.0\ffpxinstaller\ffpxinstaller.vdproj  </blockquote>   the installed application seems to work fine  but  obviously  i d rather not have any warning when it s compiled. has anyone seen anything similar  if so  have you solved the problem,.net
kabpersonrelatednamesproperty  i find the apple documentation extensive but i also find guidance on the syntax for code lacking in explanation or examples.    is there any reference books/documents on coding the address book in general and for my specifics the related name property in the abpeoplepickernavigationcontroller class available,iphone
read wireshark file  i want to build application who send packets  i know sharppcap and pcap.net but want to build from my own. the first thing that i want to start with is open wireshark file but unlike sharppcap and pcap.net i want my application to have the ability to handle all wireshark file not only pcap files. i am a new developer and don t know even where to start so forgive me for not post here what i have try. the only thing i have try is binaryreader that read my file and got only strange characters. i d like any help that can lead me to learn hot to do it.,c#
rails3+csv wrong number of arguments (0 for 1)   in generate  in development mode iam using (rails3 and ruby 1.9.2p136) and csv is working good     but     in production mode iam using (rails3 and ruby 1.9.2p0) and csv throws error    (wrong number of arguments (0 for 1)   in generate)    please can u suggest me what could be the problem.    thanks,ruby-on-rails
how to get date month year using loop function  i wanted to make a function  from where i can get date   month   year  but i m unable to write functions for that also i don t know how to call those function in drop down menus    for example   <pre><code>function get_date(){         for($i=1;$i&lt;31;$i++){ &gt;            &lt; php return  &lt;option value= $i &gt;  $i &lt;/option&gt; ;        } </code></pre>   now if i  called it in select menu    <pre><code>&lt;select &gt;  echo get_date(); &lt;/select&gt; </code></pre>   it returns echo $i kindly guide me where i went wrong,php
removing commas from a string using sql  if i have the string:   <pre><code>[30.345  -97.345  4] [30.345  -97.345  5] [30.345  -97.345  6] [30.345  -97.345  7] </code></pre>   how would i remove every third comma  so that the string would look like this    <pre><code>[30.345  -97.345  4][30.345  -97.345  5][30.345  -97.345  6][30.345  -97.345  7]   </code></pre>   thanks in advance.,sql
c# random seed generator of multiple instances  i m making a simple game to improve my c# skills. i read about the random() class and how it generates a seed off of datetime and found some results of how to get a pseudorandom generator from one instance.    player class:   <pre><code>    random dice = new random();     public int rolldice()     {         int dice1 = dice.next(1  7);         int dice2 = dice.next(1  7);         int sum = dice1 + dice2;         console.writeline( d1:   + dice1 +   d2:   + dice2 +   sum:   + sum);         return sum;     } </code></pre>   main:   <pre><code>//infiniteloop{       player1.rolldice();       console.readkey();       player2.rolldice();   } </code></pre>   upon output  no longer how long i wait to press the key and re-call the player2.diceroll() it still will roll the same numbers. if i only have one player  it works perfectly. how can i improve this,c#
how to get rows from table  i have table <code>recipes2ingredients</code>    <pre><code>(id  recipe_id  ingredient_id)   </code></pre>   and 2 ingredients for example 1 2. i need get all recipe_id    <pre><code>where  is ingredient_id = 1 and ingredient_id = 2  </code></pre>,sql
do until loop won t exit  this must be a silly question but with my logic i can t understand why it doesn t exit. this is my loop:   <pre><code>random _random = new random(); int num; char let; string tempname =  ~ ; string stemppath; do {     while (tempname.length &lt; 12)     {         num = _random.next(0  26);         let = (char)( a  + num);         tempname = tempname + let;     }     stemppath = sdirectory + @ \  + tempname + @ .  + sext;     //messagebox.show(stemppath); } while (!file.exists(stemppath)); </code></pre>   so with my logic  when do loop starts  it directly triggers the while loop inside it. while loop exists after <code>tempname.length</code> is greater than 12 and then do loop should exit since the file doesn t exists. so where am i wrong,c#
python backtracking (queens checkboard)  ok so finally after hours and hours of struggling with my head i finally understood how backtracking works. though i still think there are secrets left to be understood. anyways  i m trying to create the 4-queens problem on the checkboard. practically i m giving myself a blank checkboard (it s 4x4 actually) and i need to find 4 places where those queens won t attack themselves. a queen attacks the row  column and diagonal it belongs too.  here is what i ve done so far (the valid func isn t complete yet  but it doesn t really matter. i just need the backtrack function to work).   <pre><code>def findnextcell(grid i j):      for index in range(i 4):         for jindex in range(j 4):             return index  jindex      for index in range(0 4):         for jindex in range(0 4):             if grid[index][jindex] == 0:                 return index  jindex      return -1 -1   def isvalid(grid  index  jindex  queen):      rowok = all([queen != grid[index][x] for x in range(4)])     if rowok:         columnok = all([queen != grid[x][jindex] for x in range(4)])         if columnok:             return true     return false  def queensolve(grid  i=0  j=0  num_queens = 0):      i  j = findnextcell(grid  i  j)     print grid     if num_queens == 4:         return true     if isvalid(grid  i  j  1):         grid[i][j]=1         num_queens += 1         if (queensolve(grid  i  j  num_queens)):             return true         grid[i][j]=0     return false  input = [[0 0 0 0] [0 0 0 0] [0 0 0 0] [0 0 0 0]]  print queensolve(input) </code></pre>,python
add ending tag and start tag  i have a table:   <pre><code>&lt;div id= menu &gt;     &lt;table cellspacing= 0  cellpadding= 0  width= 930 &gt;         &lt;tbody&gt;             &lt;tr&gt;                 &lt;td&gt;                     1                 &lt;/td&gt;                 &lt;td class= spacer &gt;&lt;/td&gt;                 &lt;td&gt;                     2                 &lt;/td&gt;                 &lt;td class= spacer &gt;&lt;/td&gt;                 &lt;td&gt;                     3                 &lt;/td&gt;                 &lt;td class= spacer &gt;&lt;/td&gt;                 &lt;td&gt;                     4                 &lt;/td&gt;                 &lt;td class= spacer &gt;&lt;/td&gt;                 &lt;td&gt;                     6                 &lt;/td&gt;                 &lt;td class= spacer &gt;&lt;/td&gt;                 &lt;td&gt;                     5                 &lt;/td&gt;             &lt;/tr&gt;         &lt;/tbody&gt;     &lt;/table&gt; &lt;/div&gt; </code></pre>   and i need to split this table into two tables.<br> like this:   <pre><code>&lt;div id= menu &gt;     &lt;table cellspacing= 0  cellpadding= 0  width= 930 &gt;         &lt;tbody&gt;             &lt;tr&gt;                 &lt;td&gt;                     1                 &lt;/td&gt;                 &lt;td class= spacer &gt;&lt;/td&gt;                 &lt;td&gt;                     2                 &lt;/td&gt;                 &lt;td class= spacer &gt;&lt;/td&gt;                 &lt;td&gt;                     3                 &lt;/td&gt;             &lt;/tr&gt;         &lt;/tbody&gt;     &lt;/table&gt;     &lt;table&gt;         &lt;tbody&gt;             &lt;tr&gt;                 &lt;td&gt;                     4                 &lt;/td&gt;                 &lt;td class= spacer &gt;&lt;/td&gt;                 &lt;td&gt;                     6                 &lt;/td&gt;                 &lt;td class= spacer &gt;&lt;/td&gt;                 &lt;td&gt;                     5                 &lt;/td&gt;             &lt;/tr&gt;         &lt;/tbody&gt;     &lt;/table&gt; &lt;/div&gt; </code></pre>   so i did this:<br> it finds the middle spacer and replaces that with some ending tags and start tags.   <pre><code>var menuitems = jquery( #menu table tr td.spacer ).size(); var middle = math.floor(menuitems/2); jquery( #menu table tr ).children( td.spacer ).each(function(index) {     if(index == middle) {         jquery(this).replacewith( &lt;/tr&gt;&lt;/tbody&gt;&lt;/table&gt;&lt;table&gt;&lt;tbody&gt;&lt;tr&gt; );     } }); </code></pre>   but jquery doesn t seem to like that... is it possible to do this  split an element,jquery
how to represent 5 billion in java and sequential integer values  i am wondering how to represent 5400000000 5400000001 5400000002 .... in java (how to represent 5 billion in java)    java ints only hold 2^32-1  java longs hold 2^64-1 ..but i am having a problem representing  5400000000 5400000001 5400000002 ....and doubles aren t helping either.    can someone plz provide insight how to represent large values like this (in java) without having to do multiplication on strings because long max = long(5462205000); just isnt doing it for me. thx in advance,java
sql where != stringval not filtering out stringval  i have a table (as <strong>table1</strong>)comes from hbase that has certain things that i would like to filter out. i have recreated the table  my sql query  and the output i receive below. what happens is that when i try to filter out the string value it stays in the table  even if i want it out.    <strong>table1</strong> ( some positions are fully capitalized some arent  want to make them all capitalized and filter out positions )   <pre><code>name | company  | personal_id | position joe  | applebees| 32          | manager jack | target   | 12          | clerk jim  | chipotle | 22          | cook ron  | starbucks| 13          | barista </code></pre>   <strong>query</strong>   <pre><code>df = sqlcontext.sql( select name  company  personal_id  ucase(position) as position                      from table1                      where position !=  barista  ) #tried lower &amp; upper case </code></pre>   <strong>output reieved</strong>   <pre><code>name | company  | personal_id | position joe  | applebees| 32          | manager jack | target   | 12          | clerk jim  | chipotle | 22          | cook ron  | starbucks| 13          | barista  /*dont want this output*/ </code></pre>   why did the row <code>ron | startbucks| 13 | barista</code> not filter with my where clause,sql
ping and bandwidth  we are developing an application that uses asihttp libraries. once the application loaded  we have an interface to choose logging in like a registered user and as visitor.  previously  we catch from our server if there are new things to download or not showing an activity indicator until it s done with the operation  and then we load the contents correctly to show in the interface and show it. one big problem we have is that  in very poor quality and slow connections (with 3g  wifi)  downloading and connecting processes never end  so we have the activity indicator running and running... 5  10  15 ... minutes for only a few kb to get (10kb or less).    we have thought about some possibilities:    1 - the most trivial: set a time out to all asynchornous requests and when any of them reach it  abort all requests and then load the interfaz post-log-in and the app runs normally.     the problem is: we can loose data when ping is a little high in one moment and the bandwidth is effectivly usable. the time we spend in these comprobations is too elevated so we threw this possibility    2 - know ping  bandwidth (connection quality in speed and ping terms)  beforehand when application is launching so when user logs in  we can determine if it is viable or not to download contents and so on    i ve search and i found sample codes that finds the reachability of a server.    any idea how can we do this      thanks.,iphone
swapping the elements of a arraylist-java  i found this code for swapping but i need to eliminate recursion  is it possible to use an arraylist instead of an array    <pre><code>public class a {      static arraylist&lt;int[]&gt; permutations(int[] a) {         arraylist&lt;int[]&gt; ret = new arraylist&lt;int[]&gt;();         permutation(a  0  ret);         return ret;     }      public static void permutation(int[] a  int pos  arraylist&lt;int[]&gt; list) {         if (a.length - pos == 1)             list.add(a.clone());          else             for (int i = pos; i &lt; a.length; i++) {                 swap(a  pos  i);                 permutation(a  pos + 1  list);                 swap(a  pos  i);             }     }      public static void swap(int[] arr  int pos1  int pos2) {         int h = arr[pos1];         arr[pos1] = arr[pos2];         arr[pos2] = h;     } </code></pre>,java
can any one explain how does  arc4random()  method work   can any one explain how does  arc4random()  method work internally     my code is here :    <pre><code>randomdataname.derivation = [derivationarray objectatindex:(arc4random() %derivationcount)]; randomdataname.icon = [iconarray objectatindex:(arc4random() % iconcount)]; randomdataname.notes = [notesarray objectatindex:(arc4random() % notescount)]; </code></pre>,objective-c
list all classes and methods in a script file  i would like to output to an array all classes and their methods names as well as method type (public  private  protected) to an array after picking a particular script file.     this will be used to create a permissions system  where an admin can specify what classes a particular user group may access.    for instance say in the script file test.php it has the following:   <pre><code>class test{  public function dostuff(){  }  private function hide(){  } } </code></pre>   it should give me a list like this: class: test methods:     dostuff (public)     hide (private),php
python script to pull data from restapi fails with error  when i run my python script to get data from restapi of an application  i get the following error. i installed pip and i installed requests package for the python. here is my below query:    ./simplerunquery.py <code>&lt;args&gt; &lt;args&gt;</code>   <pre><code>traceback (most recent call last):   file  ./simplerunquery.py   line 25  in &lt;module&gt;     res = requests.post(url  auth=(args.username  args.password)  data=jsonrequest  headers=headers)    file  /library/python/2.7/site-packages/requests/api.py   line 112  in post     return request( post   url  data=data  json=json  **kwargs)   file  /library/python/2.7/site-packages/requests/api.py   line 58  in request     return session.request(method=method  url=url  **kwargs)   file  /library/python/2.7/site-packages/requests/sessions.py   line 508  in request     resp = self.send(prep  **send_kwargs)   file  /library/python/2.7/site-packages/requests/sessions.py   line 618  in send     r = adapter.send(request  **kwargs)   file  /library/python/2.7/site-packages/requests/adapters.py   line 490  in send     raise connectionerror(err  request=request) requests.exceptions.connectionerror: ( connection aborted.   error(54   connection reset by peer )) </code></pre>   i can attach the script  but my script doens t have the lines 112 or 58 or any of these  it s a simple restapi script that queries and posts results here. any pointers,python
